Primary,State,County,Year,percent
3102,Wisconsin,Price County,2013,34
3103,Wisconsin,Racine County,2013,32.9
3104,Wisconsin,Richland County,2013,31.8
3105,Wisconsin,Rock County,2013,36.9
3106,Wisconsin,Rusk County,2013,31.7
3107,Wisconsin,St. Croix County,2013,26.2
3108,Wisconsin,Sauk County,2013,32.5
3109,Wisconsin,Sawyer County,2013,29.7
3110,Wisconsin,Shawano County,2013,33.8
3111,Wisconsin,Sheboygan County,2013,29.4
3112,Wisconsin,Taylor County,2013,34.4
3113,Wisconsin,Trempealeau County,2013,29.6
3114,Wisconsin,Vernon County,2013,32.8
3115,Wisconsin,Vilas County,2013,27.7
3116,Wisconsin,Walworth County,2013,25.1
3117,Wisconsin,Washburn County,2013,30.8
3118,Wisconsin,Washington County,2013,29.2
3119,Wisconsin,Waukesha County,2013,27.5
3120,Wisconsin,Waupaca County,2013,28.5
3121,Wisconsin,Waushara County,2013,32.9
3122,Wisconsin,Winnebago County,2013,31.9
3123,Wisconsin,Wood County,2013,32.3
3124,Wyoming,Albany County,2013,23.3
3125,Wyoming,Big Horn County,2013,28.9
3126,Wyoming,Campbell County,2013,34.3
3127,Wyoming,Carbon County,2013,28.2
3128,Wyoming,Converse County,2013,28.3
3129,Wyoming,Crook County,2013,25.9
3130,Wyoming,Fremont County,2013,28.3
3131,Wyoming,Goshen County,2013,29.9
3132,Wyoming,Hot Springs County,2013,27
3133,Wyoming,Johnson County,2013,21.1
3134,Wyoming,Laramie County,2013,29.7
3135,Wyoming,Lincoln County,2013,25.6
3136,Wyoming,Natrona County,2013,29.4
3137,Wyoming,Niobrara County,2013,25.5
3138,Wyoming,Park County,2013,25.5
3139,Wyoming,Platte County,2013,28
3140,Wyoming,Sheridan County,2013,23.3
3141,Wyoming,Sublette County,2013,23.5
3142,Wyoming,Sweetwater County,2013,31.7
3143,Wyoming,Teton County,2013,12.7
3144,Wyoming,Uinta County,2013,27.9
3145,Wyoming,Washakie County,2013,27.7
3146,Wyoming,Weston County,2013,29.2
3147,,,,
